category,baseline_sustainable_spend,baseline_conventional_spend,optimized_sustainable_spend,optimized_conventional_spend,baseline_cost,optimized_cost,baseline_ghg,optimized_ghg,scenario,baseline_sus_pct,optimized_sus_pct
Beef,17.871599999999997,6.3449,18.166649999999997,4.018455555555556,24.216499999999996,22.185105555555552,160.83705386260002,135.63878935427778,s1_C3,0.7379926909338674,0.8188669625441894
Chicken,7.8973,19.1032,11.84595,17.559412941176472,27.000500000000002,29.40536294117647,47.911750569540004,55.40480363624929,s1_C3,0.29248717616340436,0.40284998432758873
Fish,9.8066,8.695,5.8969,4.3475,18.5016,10.2444,11.055120115920001,6.12513411828,s1_C3,0.5300406451333939,0.5756218031314668
Beef,17.871599999999997,6.3449,23.0139,4.018455555555556,24.216499999999996,27.032355555555554,160.83705386260002,159.41290399977777,s2_C3,0.7379926909338674,0.8513464523172232
Chicken,7.8973,19.1032,11.84595,14.624354117647059,27.000500000000002,26.47030411764706,47.911750569540004,48.88302912994341,s2_C3,0.29248717616340436,0.4475184700315783
Fish,9.8066,8.695,11.7938,4.3475,18.5016,16.1413,11.055120115920001,9.76037631856,s2_C3,0.5300406451333939,0.7306598601104
Beef,17.871599999999997,6.3449,22.5081,4.018455555555556,24.216499999999996,26.526555555555554,160.83705386260002,156.93212681937777,s3_C3,0.7379926909338674,0.8485119733265197
Chicken,7.8973,19.1032,11.84595,16.091883529411763,27.000500000000002,27.937833529411765,47.911750569540004,52.143916383096354,s3_C3,0.29248717616340436,0.4240110453635958
Fish,9.8066,8.695,5.8969,4.3475,18.5016,10.2444,11.055120115920001,6.12513411828,s3_C3,0.5300406451333939,0.5756218031314668
